"Step","MAMO - ViT-S, BERT-S - itc_loss","MAMO - ViT-S, BERT-S - itc_loss__MIN","MAMO - ViT-S, BERT-S - itc_loss__MAX"
"0","10.334590470806642","10.334590470806642","10.334590470806642"
"1","1.1159376590004195","1.1159376590004195","1.1159376590004195"
"2","0.7823193961819775","0.7823193961819775","0.7823193961819775"
"3","0.505141798123313","0.505141798123313","0.505141798123313"
"4","0.3292916458837249","0.3292916458837249","0.3292916458837249"
"5","0.23024760702443706","0.23024760702443706","0.23024760702443706"
"6","0.16308882767439362","0.16308882767439362","0.16308882767439362"
"7","0.12059453986264632","0.12059453986264632","0.12059453986264632"
"8","0.09019841664994023","0.09019841664994023","0.09019841664994023"
"9","0.071194453904261","0.071194453904261","0.071194453904261"
"10","0.06172303689016901","0.06172303689016901","0.06172303689016901"
"11","0.05627268693310626","0.05627268693310626","0.05627268693310626"
"12","0.05287957309670056","0.05287957309670056","0.05287957309670056"
"13","0.05207123393750695","0.05207123393750695","0.05207123393750695"
"14","0.0507479699845207","0.0507479699845207","0.0507479699845207"